CARGO_TO_MOVE,TURNS_TO_SAVE,CELL_VALUE_DEGRADATION,PERCENT_OF_AVERAGE_TO_IGNORE
0.845417617970263,0.520821141820469,0.779834362489414,0.260856076803982
0.87660628885743,0.520740991709206,0.701240079649738,0.245247582663152
0.900461902430629,0.566476482894524,0.645833709927052,0.238331861344327
0.954366900054827,0.548915188727726,0.74583295763798,0.242241088331491
0.821866697764495,0.56527840519333,0.82532681745007,0.260876095137953
0.883936603182701,0.511604649133877,0.630209062148731,0.210903035901947
0.848984628640056,0.50700494351723,0.855912377631866,0.243075432711865
0.787186035909818,0.5366607643786,0.691153462351096,0.217075157171592
0.80809147273426,0.555487268905695,0.819999621879216,0.267622090415309
0.841084115377127,0.52796489975788,0.847251354313415,0.243264272070786
0.852298043575367,0.542464363765154,0.824364343970803,0.244671846114862
0.859554490150956,0.516116195199267,0.648715853491639,0.21591212974802
0.825427480731601,0.544765166117328,0.845886346463841,0.229778880489721
0.896665353415311,0.575631175568807,0.622222986065597,0.235440532941634
0.922397275138008,0.532417253148994,0.796665318176623,0.270076776993184
0.849559737412846,0.519462777205678,0.834663461729401,0.235363494583521
0.877799915130347,0.569265236783325,0.797911948293661,0.253406752139859
0.817858283618042,0.546781578301726,0.674047969173223,0.228356075978312
0.790497371109764,0.550397264195118,0.691943564376407,0.240527470523493
0.884649556186141,0.447766458011813,0.773957405313008,0.201306246452327
0.824065371756926,0.469066631649528,0.863413271363437,0.23669074110725
0.804531559997133,0.597443658624978,0.836092407031008,0.270655292633647
0.799754703311004,0.547229628761138,0.708289809167745,0.244859691042247
0.865827525181301,0.556734904933067,0.706150988730948,0.232523667708996
0.862084788321387,0.534401368043858,0.812022881466858,0.252509376647073
0.85708388292235,0.550408305391462,0.705690411588826,0.214358148192895
0.820157962500149,0.575304111715155,0.867245411361678,0.262174930916008
0.920946088228904,0.494587987991611,0.700333781737407,0.223009633217977
0.798013045918602,0.479832360690471,0.899187031711687,0.22138654671134
0.933700494567321,0.536588420393104,0.762435221370188,0.231641418825008
0.919479966471811,0.553695543836517,0.642296347715289,0.224212565752261
0.843514346860056,0.536105753464436,0.631119335463117,0.213288416426174
0.897307534197608,0.392779663533977,0.768443442642166,0.206216513971776
0.830388619198779,0.505111461355115,0.64252609885431,0.220486989620864
0.821060958954949,0.483621710622227,0.748033317578437,0.202581635812252
0.86611003083931,0.584286352879701,0.616085376283785,0.231832730357057
0.926771256996114,0.472516728931563,0.749331408543875,0.203406344735098
0.970624544737647,0.472165442638498,0.740202654447664,0.24199842784728
0.847919353265422,0.559663305272323,0.859375914932318,0.247321547916119
0.847340250317095,0.526622807550414,0.660413821472494,0.212437355355029
0.88962826134,0.54286621992825,0.802175827089543,0.227284285965919
0.933072525702834,0.530226000888055,0.829338044196822,0.222612376704789
0.824135352951735,0.57647239983207,0.849985381249721,0.254845341611844
0.840497171553043,0.466613847532361,0.749703440426322,0.19530137902701
0.813462424241565,0.545933556556673,0.646847413426417,0.229591244476513
0.939634132775721,0.521121919351317,0.608586420124521,0.234373106440494
0.920567789673773,0.54509728072805,0.72881183444737,0.250394898916932
0.964778862813162,0.527290604033846,0.795566664441438,0.221824935826955
0.869108252892257,0.461887640831378,0.722159229102287,0.227408375970075
0.803477134291393,0.578934179462276,0.883272921621381,0.269362460713907
0.888711277062837,0.546438788700914,0.760218845136253,0.205445352898431
0.913154600780749,0.460863379787978,0.743075283066745,0.191244072299465
0.804155826265079,0.461420611509146,0.821319477853125,0.239158115104773
0.827296170854821,0.547694868741621,0.675964291395616,0.222365709480472
0.81945637430956,0.543173256160648,0.6847238157135,0.229669406536468
0.950047866671331,0.49219283123007,0.795365531331818,0.237197297876323
0.85091832315905,0.551272652454158,0.6799533734727,0.209126727410275
0.802050448387472,0.492144096402258,0.86875107023963,0.21169449075634
0.813213970430303,0.54076598670324,0.693181520582005,0.248739959961261
0.856464658481314,0.503430195558414,0.648930628100106,0.221941220938267
0.834081269756191,0.542777980123414,0.68404017586907,0.234997521742483
0.838761625129729,0.528385511901028,0.681133212687984,0.235074069430697
0.864381281806496,0.524560294612315,0.801542763185732,0.248280808219728
0.884118774352253,0.549757272726225,0.791543311769088,0.24829889109908
0.908541400306924,0.482281169579499,0.796773127468194,0.230828827586462
0.829010960091947,0.569306029245538,0.817291110710799,0.260455707097422
0.84515098880496,0.572325049923,0.659668628030252,0.20122837984826
0.935036031298945,0.546359754549166,0.827966661752675,0.215429788504169
0.770683624854056,0.54979597664069,0.846641305679175,0.260026686038015
0.850587413677107,0.533561864606958,0.618307972559225,0.220476456221693
0.85011392837271,0.466674896643811,0.724572664317102,0.218559933091626
0.979257411368778,0.489050995015458,0.751326546781519,0.231834120505984
0.910648550868083,0.48376098639544,0.690594105440355,0.208849853421069
0.760526783301769,0.547563659415786,0.708606520283561,0.240876815053838
0.957929048699437,0.515537677801455,0.819837030782333,0.221642408864557
0.815519691908488,0.395284503001118,0.746841758001448,0.195434665113063
0.946052391867515,0.542611998137113,0.828101913727883,0.214516704543721
0.973595784618244,0.568960573543739,0.811432292081849,0.218824875394473
0.878925821256671,0.524071813015609,0.707084819926715,0.246738670348236
0.849720995512633,0.54867254425368,0.822416029432282,0.240430547370206
0.808730361437147,0.520541476059562,0.684148262482866,0.226032523990322
0.858497696945975,0.544426418714413,0.651828480070747,0.236222952573566
0.848597349374714,0.522894900286494,0.832623578660099,0.243146341238779
0.871322562225826,0.538269053551659,0.738262878248796,0.241973638584256
0.955606444275755,0.624718222660259,0.711675448537449,0.198013981473783
0.879959142390081,0.474081655396121,0.827807212177122,0.260121527537836
0.895871034849389,0.513693860277672,0.673609264838988,0.227130964578952
0.907094050351333,0.549848364721933,0.801099271994701,0.272942700945289
0.94504867670645,0.477838817254622,0.813264319159066,0.247128951249568
0.900187360087767,0.55742041568608,0.697983389150455,0.25312856124535
CARGO_TO_MOVE,TURNS_TO_SAVE,CELL_VALUE_DEGRADATION,PERCENT_OF_AVERAGE_TO_IGNORE
0.787186035909818,0.5366607643786,0.691153462351096,0.217075157171592
0.849559737412846,0.519462777205678,0.834663461729401,0.235363494583521
0.817858283618042,0.546781578301726,0.674047969173223,0.228356075978312
0.824065371756926,0.469066631649528,0.863413271363437,0.23669074110725
0.85708388292235,0.550408305391462,0.705690411588826,0.214358148192895
0.919479966471811,0.553695543836517,0.642296347715289,0.224212565752261
0.830388619198779,0.505111461355115,0.64252609885431,0.220486989620864
0.926771256996114,0.472516728931563,0.749331408543875,0.203406344735098
0.970624544737647,0.472165442638498,0.740202654447664,0.24199842784728
0.840497171553043,0.466613847532361,0.749703440426322,0.19530137902701
0.939634132775721,0.521121919351317,0.608586420124521,0.234373106440494
0.964778862813162,0.527290604033846,0.795566664441438,0.221824935826955
0.804155826265079,0.461420611509146,0.821319477853125,0.239158115104773
0.950047866671331,0.49219283123007,0.795365531331818,0.237197297876323
0.85091832315905,0.551272652454158,0.6799533734727,0.209126727410275
0.838761625129729,0.528385511901028,0.681133212687984,0.235074069430697
0.864381281806496,0.524560294612315,0.801542763185732,0.248280808219728
0.884118774352253,0.549757272726225,0.791543311769088,0.24829889109908
0.850587413677107,0.533561864606958,0.618307972559225,0.220476456221693
0.849720995512633,0.54867254425368,0.822416029432282,0.240430547370206
0.907094050351333,0.549848364721933,0.801099271994701,0.272942700945289
0.900187360087767,0.55742041568608,0.697983389150455,0.25312856124535
